code,slug
ASTRAL GUIDE,starlight
BALANCE,order
CHARM WIELDER,energy
DISMISSIVE ELVES,thewilds
ENDLESS SECRETS,lost
EXCALIBUR,legend
FALSE PATH,thetrickster
FOCUS-ALWAYS,focus
FUTURE SIGHT,prophecy
HAUNTED VOICES,echoes
INFINITE POWER,madness
LURKING WARLOCKS,#dark_all
PERSUASIVE SHADOWS,shadows
REBELLION,resistance
ROYAL MIGHT,thecrown
SLEEPING DRAGONS,flame
STUDY-BETA,study
UNDYING CAT,chaos
UNKNOWN ORIGINS,lost
UNTEATHER,freedom
VALOR,thenobility
VAMPIRIC THIRST,blood
VIROS IS KING,*
WHISPERING WRAITHS,silence
