id,name,type,InkCost,maxCopies,aspect,roles
F_Infinity,Infinity,Holy,1,5,Aspect of Focus,
F_Speed,Speed,Light,1,4,Aspect of Focus,
F_Enhance,Enhance,Light,1,4,Aspect of Focus,
F_Shield,Shield,Light,1,3,Aspect of Focus,
F_Counter,Counter,Light,1,5,Aspect of Focus,
F_Arcane_Vision,Arcane Vision,Light,1,3,Aspect of Focus,
F_Teleport,Teleport,Light,1,4,Aspect of Focus,
F_Sorcerer-s_Gambit,Sorcerer's Gambit,Light,1,2,Aspect of Focus,
F_Haste,Haste,Light,1,3,Aspect of Focus,
F_Cantrip_Scribbles,Scribbles,Light,2,5,Aspect of Focus,
F_Cantrip_Draft,Draft,Light,4,3,Aspect of Focus,
F_Cantrip_Revise,Revise,Light,5,1,Aspect of Focus,
F_Cantrip_Smudge,Smudge,Light,2,4,Aspect of Focus,
F_Cantrip_Margin_Note,Margin Note,Light,5,3,Aspect of Focus,
F_Cantrip_Annotation,Annotation,Light,5,2,Aspect of Focus,
F_Cantrip_Blot,Blot,Light,4,1,Aspect of Focus,
F_Cantrip_Seek,Seek,Light,0,5,Aspect of Focus,
F_Dread,Dread,Dark,1,3,Aspect of Focus,
S_TRAVEL_Surge,Surge,Light,6,1,Aspect of Study,
S_TRAVEL_Scholarly_Gate,Scholarly Gate,Travel,1,1,Aspect of Study,
S_Dash,Dash,Light,2,2,Aspect of Study,
S_Augment,Augment,Light,2,2,Aspect of Study,
S_Force_Field,Force Field,Light,2,2,Aspect of Study,
S_Mystical_Knowledge,Mystical Knowledge,Light,2,2,Aspect of Study,
S_Gate,Gate,Light,2,2,Aspect of Study,
S_Refine,Refine,Light,2,2,Aspect of Study,
S_Glimpse_of_Insight,Glimpse of Insight,Light,2,2,Aspect of Study,
S_Seal_of_Denial,Seal of Denial,Light,2,2,Aspect of Study,
S_Axiom,Axiom,Light,3,2,Aspect of Study,
S_Retract,Retract,Light,3,2,Aspect of Study,
L_INFO,Legend Info,Info,0,1,Aspect of Legend,
L_TRAVEL_Skybound_Passage,Skybound Passage,Travel,2,1,Aspect of Legend,
L_Heroic_Courage,Heroic Courage,Holy,3,2,Aspect of Legend,
L_Wings_of_Icarus,Wings of Icarus,Light,4,2,Aspect of Legend,
L_Excalibur-s_Blessing,Excalibur's Blessing,Light,4,1,Aspect of Legend,
L_Lamp_of_the_Djinn,Lamp of the Djinn,Light,4,1,Aspect of Legend,
L_Aegis_of_Athena,Aegis of Athena,Light,4,1,Aspect of Legend,
L_Helm_of_Hades,Helm of Hades,Light,4,1,Aspect of Legend,
L_Basilisk-s_Gaze,Basilisk's Gaze,Light,3,2,Aspect of Legend,
L_Forge_of_Hephaestus,Forge of Hephaestus,Light,5,1,Aspect of Legend,
P_INFO,Prophecy Info,Info,0,1,Aspect of Prophecy,
P_TRAVEL_Fated_Crossing,Fated Crossing,Travel,2,1,Aspect of Prophecy,
P_Omen,Omen,Light,2,2,Aspect of Prophecy,
P_Foretelling_of_Victory,Foretelling of Victory,Light,3,2,Aspect of Prophecy,
P_Prophet-s_Exchange,Prophet's Exchange,Light,3,2,Aspect of Prophecy,
P_Scry,Scry,Light,5,2,Aspect of Prophecy,
P_Doomsign,Doomsign,Light,4,2,Aspect of Prophecy,
P_Premonition,Premonition,Light,3,3,Aspect of Prophecy,
P_Grim,Grim,Light,4,1,Aspect of Prophecy,
W_INFO,The Wilds Info,Info,0,1,Aspect of The Wilds,
W_TRAVEL_Hunted_Passage,Hunted Passage,Travel,3,1,Aspect of The Wilds,
W_Welcome,Welcome,Light,2,2,Aspect of The Wilds,
W_Feast,Feast,Light,4,2,Aspect of The Wilds,
W_Guide,Guide,Light,3,2,Aspect of The Wilds,
W_Safe_Crossing,Safe Crossing,Light,3,2,Aspect of The Wilds,
W_Gift_of_Knowledge,Gift of Knowledge,Light,3,2,Aspect of The Wilds,
W_Parlay,Parlay,Light,3,2,Aspect of The Wilds,
W_Watchful_Eyes,Watchful Eyes,Light,3,2,Aspect of The Wilds,
W_Thorned_Path,Thorned Path,Dark,5,1,Aspect of The Wilds,
T_INFO,The Throne Info,Info,0,1,Aspect of The Throne,
T_TRAVEL_Dismissed,Dismissed,Travel,1,1,Aspect of The Throne,
T_Royal_Decree,Royal Decree,Holy,3,2,Aspect of The Throne,
T_Greed,Greed,Light,2,3,Aspect of The Throne,
T_Levy,Levy,Light,3,2,Aspect of The Throne,
T_Tribute,Tribute,Light,4,2,Aspect of The Throne,
T_Mimic_Mantle,Mimic Mantle,Light,4,2,Aspect of The Throne,
T_Decree,Decree,Light,3,2,Aspect of The Throne,
