id,name,type,rank,maxCopies,aspect,roles
c_infinity,Infinity,Holy,1,4,Focus,special
c_speed,Speed,Light,1,4,Focus,move;movement_increase
c_enhance,Enhance,Light,1,3,Focus,combat;power_increase
<<<<<<<< Updated upstream:assets/cards-BZHqojEr.csv
c_shield,Shield,Light,1,4,Focus,combat;disrupt;counter;disruption
========
c_shield,Shield,Light,1,4,Focus,combat;disrupt
>>>>>>>> Stashed changes:assets/cards-DS5AiGPT.csv
c_counter,Counter,Light,1,4,Focus,disrupt;counter
c_haste,Haste,Light,1,3,Focus,special
c_sorcerersgambit,Sorcerer's Gambit,Light,1,2,Focus,draw;search_draw
c_arcane_vision,Arcane Vision,Light,1,2,Focus,draw;search_draw
c_teleport,Teleport,Light,1,2,Focus,move;movement_increase
c_dread,Dread,Dark,1,2,Focus,reveal
s_gainwisdom,Gain Wisdom,Light,2,2,Study,draw;move;search_draw;movement_increase
s_flexibletactics,Flexible Tactics,Light,2,2,Study,combat;move;draw;power_increase;movement_increase;search_draw
s_foolscourage,Fool's Courage,Light,2,2,Study,combat;power_increase
s_trialanderror,Trial and Error,Light,2,2,Study,draw;search_draw
s_glimpseofinsight,Glimpse of Insight,Light,2,3,Study,draw;reveal;search_draw
s_callofancients,Call of Ancients,Dark,2,1,Study,draw;move;search_draw;movement_increase
lost_mend,Mend,Light,4,2,Lost,special;draw;search_draw
legend_excaliburs_blessing,Excalibur's Blessing,Light,3,1,Legend,special;combat;move;power_increase;movement_increase
legend_manticores_wrath,Manticores' Wrath,Light,3,2,Legend,combat;disrupt;move;counter;movement_increase
legend_medusas_gaze,Medusa's Gaze,Light,3,2,Legend,disrupt;counter;inflict_status
legend_sirens_song,Sirens' Song,Light,3,2,Legend,disrupt;counter
legend_wings_of_icarus,Wings of Icarus,Holy,3,2,Legend,move
legend_cry_of_the_banshee,Cry of the Banshee,Light,3,2,Legend,disrupt;draw;search_draw;counter
prophecy_vision_of_destiny,Vision of Destiny,Light,2,2,Prophecy,draw
prophecy_written_in_the_stars,Written in the Stars,Light,2,2,Prophecy,draw;counter
prophecy_hourglass_of_fate,Hourglass of Fate,Light,3,2,Prophecy,disrupt;counter
prophecy_oracles_intervention,Oracle's Intervention,Light,3,2,Prophecy,draw
prophecy_fulfillment_of_doom,Fulfillment of Doom,Dark,3,1,Prophecy,
prophecy_threads_of_fate,Threads of Fate,Light,3,3,Prophecy,draw
