id,name,type,rank,maxCopies,aspect,roles
c_infinity,Infinity,Holy,1,4,Focus,special
c_speed,Speed,Light,1,4,Focus,Movement Increase
c_enhance,Enhance,Light,1,3,Focus,Power Increase
c_shield,Shield,Light,1,4,Focus,Power Increase;disrupt
c_counter,Counter,Light,1,4,Focus,disrupt
c_haste,Haste,Light,1,3,Focus,Movement Increase;special
c_sorcerersgambit,Sorcerer's Gambit,Light,1,2,Focus,draw;search_draw
c_arcane_vision,Arcane Vision,Light,1,2,Focus,draw;search_draw
c_teleport,Teleport,Light,1,2,Focus,Movement Increase
c_dread,Dread,Dark,1,2,Focus,reveal
s_gainwisdom,Gain Wisdom,Light,2,2,Study,Movement Increase;draw
s_flexibletactics,Flexible Tactics,Light,2,2,Study,Power Increase;Movement Increase
s_foolscourage,Fool's Courage,Light,2,2,Study,Power Increase;special
s_trialanderror,Trial and Error,Light,2,2,Study,draw
s_glimpseofinsight,Glimpse of Insight,Light,2,3,Study,reveal;disrupt
s_callofancients,Call of Ancients,Dark,2,1,Study,Movement Increase
lost_mend,Mend,Light,4,2,Lost,disrupt;draw
legend_excaliburs_blessing,Excalibur's Blessing,Light,3,1,Legend,Power Increase;special
legend_manticores_wrath,Manticores' Wrath,Light,3,2,Legend,Power Increase;disrupt;Movement Increase
legend_medusas_gaze,Medusa's Gaze,Light,3,2,Legend,disrupt;inflict_status
legend_sirens_song,Sirens' Song,Light,3,2,Legend,disrupt
legend_wings_of_icarus,Wings of Icarus,Holy,3,2,Legend,Movement Increase;Power Increase,power_increase
legend_cry_of_the_banshee,Cry of the Banshee,Light,3,2,Legend,Power Increase;disrupt;draw
prophecy_vision_of_destiny,Vision of Destiny,Light,2,2,Prophecy,draw;search_draw;disrupt
prophecy_written_in_the_stars,Written in the Stars,Light,2,2,Prophecy,disrupt
prophecy_hourglass_of_fate,Hourglass of Fate,Light,3,2,Prophecy,disrupt;draw
prophecy_oracles_intervention,Oracle's Intervention,Light,3,2,Prophecy,draw;disrupt
prophecy_fulfillment_of_doom,Fulfillment of Doom,Dark,3,1,Prophecy,disrupt
prophecy_threads_of_fate,Threads of Fate,Light,3,3,Prophecy,draw
lost_divine_intervention,Divine Intervention,Holy,3,2,Lost,disrupt
lost_fear,Fear,Light,3,3,Lost,disrupt;draw
lost_radiant_retrieval,Radiant Retrieval,Light,2,3,Lost,draw
lost_arcane_reset,Arcane Reset,Light,3,3,Lost,disrupt
lost_seal_of_denial,Seal of Denial,Light,2,3,Lost,disrupt;draw
lost_thought_acceleration,Thought Acceleration,Light,4,2,Lost,disrupt;draw
lost_wish,Wish,Holy,5,3,Lost,special
lost_mystical_knowledge,Mystical Knowledge,Light,3,2,Lost,draw
thecrown_majestys_valor,Majesty's Valor,Holy,2,2,The Crown,Power Increase
thecrown_divine_favor,Divine Favor,Holy,2,2,The Crown,draw;disrupt
thecrown_radiant_aegis,Radiant Aegis,Light,3,2,The Crown,Power Increase
thecrown_royal_aura,Royal Aura,Light,3,2,The Crown,Movement Increase;disrupt
thecrown_royal_destiny,Royal Destiny,Light,3,1,The Crown,disrupt
thecrown_heirs_prerogative,Heir's Prerogative,Light,3,2,The Crown,disrupt;draw
thecrown_mimic_mantle,Mimic Mantle,Light,3,2,The Crown,special
thecrown_royal_mantle,Royal Mantle,Light,3,1,The Crown,special
thewilds_thorn_shield,Thorn Shield,Light,3,2,The Wilds,Power Increase
thewilds_twilight_reign,Twilight Reign,Dark,3,1,The Wilds,disrupt;Power Increase
thewilds_verdant_judgement,Verdant Judgement,Light,4,2,The Wilds,disrupt;inflict_status
thewilds_path_of_thorns,Path of Thorns,Light,3,2,The Wilds,disrupt;inflict_status
thewilds_whispers_of_the_wild,Whispers of the Wild,Light,2,2,The Wilds,draw
thewilds_rootshift,Rootshift,Light,2,2,The Wilds,disrupt;Movement Increase;draw
pain_agonys_grasp,Agony's Grasp,Light,3,2,Pain,disrupt;Power Increase;inflict_status
pain_surge_of_desperation,Surge of Desperation,Light,3,2,Pain,Power Increase
pain_wounds_of_betrayal,Wounds of Betrayal,Light,3,3,Pain,Power Increase
pain_gift_of_agony,Gift of Agony,Dark,4,1,Pain,Power Increase;disrupt
pain_torment_bind,Torment Bind,Light,3,2,Pain,Power Increase;disrupt
pain_lingering_miasma,Lingering Miasma,Light,3,2,Pain,disrupt;inflict_status
panic_demonic_intervention,Demonic Intervention,Dark,4,1,Panic,Power Increase;disrupt
panic_rush,Rush,Light,3,2,Panic,Movement Increase;special
panic_terror_grip,Terror Grip,Light,4,4,Panic,Power Increase;inflict_status
panic_paralysing_dread,Paralysing Dread,Light,3,2,Panic,disrupt;inflict_status
panic_disruption,Disruption,Light,3,2,Panic,Movement Increase;disrupt;draw
panic_fracture,Fracture,Light,3,2,Panic,Power Increase;disrupt;special
terror_veil_of_dread,Veil of Dread,Light,4,3,Terror,inflict_status;Power Decrease
terror_horror,Horror,Light,3,2,Terror,disrupt;inflict_status
terror_second_shadow,Second Shadow,Light,3,2,Terror,reveal;Power Increase
terror_unwelcome_silence,Unwelcome Silence,Light,3,2,Terror,disrupt
terror_deadly_deal,Deadly Deal,Dark,4,1,Terror,disrupt;draw
blood_blood_pact,Blood Pact,Light,3,2,Blood,Power Increase;disrupt;draw
blood_return_from_death,Return from Death,Light,4,2,Blood,inflict_status
blood_bloodbound_resolve,Bloodbound Resolve,Light,3,2,Blood,Power Increase
blood_veins_of_sacrifice,Veins of Sacrifice,Light,3,2,Blood,Power Increase;disrupt
blood_shared_vitality,Shared Vitality,Light,3,2,Blood,Movement Increase;special
blood_vampiric_desire,Vampric Desire,Light,3,2,Blood,Power Increase;inflict_status
flame_sacrificial_flame,Sacrificial Flame,Light,3,2,Flame,Power Increase
flame_flame_surge,Flame Surge,Light,3,2,Flame,Power Increase;disrupt
flame_ember_shield,Ember Shield,Light,4,2,Flame,disrupt;Power Increase
flame_flame_unbound,Flame Unbound,Light,3,3,Flame,special
flame_burning_grace,Burning Grace,Holy,3,2,Flame,Power Increase
flame_purging_fire,Purging Fire,Light,4,3,Flame,disrupt
thenobility_kings_gaze,King's Gaze,Light,3,2,The Nobility,Power Increase;disrupt
thenobility_champions_glory,Champion's Glory,Holy,3,2,The Nobility,Power Increase
thenobility_last_wish,Last Wish,Light,3,2,The Nobility,Power Increase
thenobility_knighted_by_fire,Knighted by Fire,Light,3,2,The Nobility,Movement Increase
thenobility_knights_vow,Knight's Vow,Light,3,2,The Nobility,disrupt
thetrickster_rogues_gambit,Rogue's Gambit,Light,3,2,The Trickster,Movement Increase
thetrickster_smoke_and_mirrors,Smoke and Mirrors,Light,3,2,The Trickster,Movement Increase;disrupt
thetrickster_poison,Poison,Light,4,3,The Trickster,special;Power Decrease;Movement Decrease;disrupt
thetrickster_slipstream_decoy,Slipstream Decoy,Light,3,2,The Trickster,Movement Increase;disrupt
thetrickster_decoy_form,Decoy Form,Light,3,2,The Trickster,disrupt;draw
thetrickster_feint,Feint,Light,3,2,The Trickster,Movement Increase;disrupt;special
thetrickster_ensnare_1,Ensnare 1,Light,3,1,The Trickster,disrupt;draw;inflict_status
thetrickster_ensnare_2,Ensnare 2,Light,3,1,The Trickster,disrupt;draw;inflict_status
thetrickster_ensnare_3,Ensnare 3,Light,3,1,The Trickster,disrupt;draw;inflict_status
