hash,slug
0aca876d391f021bc53fbeb41a89883095da47dfee780071d458939f45b12a3c,lost
32436a39568e8a2f0c5e8c70360da233a2faf7f8426a0d5779eb6caa375b234f,focus
39edcd534c4ee27f102450bf67cf55fd059818b5d9917ee1e9f8b830596c036e,thetrickster
48a490a17070a8113b88f65ecc40aa34bba9b960fa05c9f3df7bf01ee39587b7,resistance
58837cf92679ef22a7214ad186780b7b9168a6c26bbe7a5685b6af4097a98f07,*
59dc359248e322a1fec3c875b38faed6c3e630a7febc60d52313d0a311819b17,starlight
5ce5686adbb54a0139f8560e0510da4e5b6c998617fec91df160a0fb22467c91,silence
7e1f200d2fcfc5506cffd42c16365cb128c821ff9a92be8fb30db4123b54e6ba,madness
84d8b1b7bbf07af6585281391533f7cbc8207852245bcc3d150c642b430b71ad,#dark_all
8582c3fc1a4fe24b447c71e6dd8e670ddd2dd47f3d45e0f28930e725e0b7a9ce,freedom
86e634a08f178fa3a9b0d35d305bc8700af5976f7f2e12850e76b4cc9bf0c6e6,lost
87da352741b967ac6dc716284780ab2c6a94d994b2e5387f9ecc955a9a9371b1,thewilds
8c522f01aea2c54371a7d50a0c1bff075cf923338a171c704c71b1ce39462fda,thecrown
8fd713d1f356f4cbdc0afd29c8a0bb91d528775e833a7d24d3c1854cd892a081,blood
94231843f7dcb1e59b2a6ee6b0bbc052b2e945923bad3eb209c72c1a41279bca,legend
979ad3a8f89b831367e697532cc4db00bce7f8a98cd8d8591759fe526c462975,study
b7f13ae563351a63e18d529f492548deed65e68fcb7d959c7bd55e73fa9948e8,prophecy
c7a6f4baa4e6c24be070022cb086aaa834c76483b68d4b3a96477adf5ca4c2bb,order
d0a89658d068c4a079b2b6ff671be4c576319a119d74b4d5dc338d0fd02bff54,thenobility
d1a1f202043fe1163f373cd30b4eee401718a4d8cc99657b0e8c764d98a984c1,chaos
d82c0c59537f16c85fc55639abcb646e90b22d618e464133bc45f62e573bea9d,flame
d8a3829d6a550035aaf4b6443c21c5061bac1155a8ac13fc3fd24bb3155d7578,energy
ed45aeadbf3b2e07a5fe83a699b7fe1cbf9fa60f919b6d084708e4b4c02f4d04,shadows
f961d78cd15efe155f2a8d4b4a29e31f12b7628ffa36a11fe8ecdb4a73cc2a1b,echoes
