slug,name,isBasic,isDark,isSpecial,order
focus,Aspect of Focus,true,,,1
study,Aspect of Study,true,,,2
legend,Aspect of Legend,,,,3
prophecy,Aspect of Prophecy,,,,4
thecrown,Aspect of The Crown,,,,5
thewilds,Aspect of The Wilds,,,,6
blood,Aspect of Blood,,,,7
flame,Aspect of Flame,,,,8
thenobility,Aspect of The Nobility,,,,9
thetrickster,Aspect of The Trickster,,,,10
chaos,Aspect of Chaos,,,,11
energy,Aspect of Energy,,,,12
madness,Aspect of Madness,,,,13
order,Aspect of Order,,,,14
freedom,Aspect of Freedom,,,,15
resistance,Aspect of Resistance,,,,16
echoes,Aspect of Echoes,,,,17
silence,Aspect of Silence,,,,18
lost,Aspect of the Lost,,,,19
pain,Aspect of Pain,,true,,20
panic,Aspect of Panic,,true,,21
terror,Aspect of Terror,,true,,22
starlight,Aspect of Starlight,,,true,23
shadows,Aspect of Shadows,,,true,24
